Time(s), Input Voltage (V), Output Load Angle (rad)
18.8, -1.34367e-06, 1.57
18.9, -1.34381e-06, 1.57
19, -1.34391e-06, 1.57
19.1, -1.34393e-06, 1.57
19.2, -1.34387e-06, 1.57
19.3, -1.34376e-06, 1.57
19.4, -1.34367e-06, 1.57
19.5, -1.34365e-06, 1.57
19.6, -1.34371e-06, 1.57
19.7, -1.3438e-06, 1.57
19.8, -1.34387e-06, 1.57
19.9, -1.34389e-06, 1.57
